applicant_id,edad,genero,provincia,region,zona,tipo_beca,nivel_estudio,ingreso_hogar_mensual_dop,miembros_hogar,promedio_academico,score_documental,horas_voluntariado,puntaje_ingles,costo_anual_programa_dop,primera_generacion_universitaria,discapacidad,adjudicada
RD-000647,20,masculino,Distrito Nacional,Ozama,rural,nacional,grado,57539.5,6,80.84,89.6,57.5,60.79,228753.69,0,0,1
RD-000648,18,femenino,Puerto Plata,Cibao Norte,urbana,nacional,grado,20790.18,7,83.49,69.51,71.4,51.74,158731.4,0,0,1
RD-000649,44,femenino,San Cristobal,Valdesia,urbana,nacional,maestria,35465.82,4,94.95,77.38,28.0,43.04,198435.79,1,0,1
RD-000650,30,masculino,Distrito Nacional,Ozama,rural,internacional,maestria,23147.89,2,77.15,86.15,88.9,78.87,1965147.49,1,0,0
RD-000651,26,masculino,Santiago,Cibao Norte,urbana,nacional,grado,63546.73,5,76.3,90.58,7.0,68.21,288212.21,0,0,0
RD-000652,32,femenino,Peravia,Valdesia,urbana,nacional,maestria,19480.82,2,85.89,68.15,40.2,63.22,141693.05,0,0,1
RD-000653,26,masculino,San Cristobal,Valdesia,rural,nacional,grado,25317.21,1,89.74,87.04,110.8,29.67,354410.93,0,0,1
RD-000654,21,femenino,Santo Domingo,Ozama,rural,nacional,grado,56606.14,3,78.38,66.22,9.1,33.27,305732.07,0,0,0
RD-000655,23,masculino,Azua,Valdesia,urbana,nacional,grado,29847.13,3,89.36,52.2,107.3,34.1,261579.76,1,0,0
RD-000656,24,femenino,Santiago,Cibao Norte,urbana,nacional,grado,25320.89,2,94.95,69.02,0.0,67.9,80000.0,0,1,1
RD-000657,19,masculino,Azua,Valdesia,urbana,nacional,grado,69473.15,1,93.6,88.02,0.0,26.03,114357.42,1,0,1
RD-000658,40,masculino,Santo Domingo,Ozama,urbana,nacional,maestria,71057.27,7,86.83,77.85,0.0,63.8,232385.6,0,0,1
RD-000659,30,masculino,Monsenor Nouel,Cibao Sur,urbana,internacional,doctorado,62764.14,5,83.28,71.58,65.3,65.81,2268491.82,0,0,1
RD-000660,20,masculino,Santiago,Cibao Norte,urbana,nacional,grado,67291.57,6,97.88,78.67,92.8,54.2,329281.81,1,0,1
RD-000661,21,masculino,Santo Domingo,Ozama,urbana,nacional,grado,37146.74,1,84.12,78.27,118.2,44.91,80000.0,0,0,1
RD-000662,44,masculino,Azua,Valdesia,urbana,internacional,doctorado,37702.21,6,91.52,85.46,114.6,86.3,1725299.14,1,1,1
RD-000663,24,masculino,Santo Domingo,Ozama,rural,internacional,maestria,29541.62,3,99.67,58.66,98.8,74.85,982903.24,1,0,0
RD-000664,24,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,46270.09,6,90.68,76.77,22.6,30.34,207963.9,0,0,1
RD-000665,26,masculino,Santiago,Cibao Norte,urbana,nacional,grado,31560.32,4,76.02,79.49,22.2,33.83,195604.79,0,0,0
RD-000666,24,femenino,San Pedro de Macoris,Higuamo,rural,nacional,grado,33250.12,2,74.09,61.62,95.5,27.33,86837.56,0,0,1
RD-000667,26,masculino,La Altagracia,Yuma,urbana,nacional,grado,58685.34,2,81.62,61.45,124.0,70.01,340559.77,1,0,0
RD-000668,21,masculino,Monte Cristi,Cibao Noroeste,urbana,nacional,grado,80942.68,1,89.68,73.62,13.6,73.36,193928.04,1,0,1
RD-000669,17,masculino,Santo Domingo,Ozama,rural,nacional,grado,52524.93,6,87.56,78.1,118.2,68.29,343901.17,0,0,1
RD-000670,19,masculino,Santiago,Cibao Norte,rural,nacional,grado,113195.73,4,100.0,78.14,0.0,49.85,379246.82,1,0,0
RD-000671,25,masculino,Santo Domingo,Ozama,rural,nacional,grado,28623.02,6,87.48,71.32,77.5,30.6,365127.52,1,0,1
RD-000672,18,masculino,Duarte,Cibao Nordeste,urbana,nacional,grado,15353.73,6,81.38,70.83,55.3,36.19,236920.35,1,0,0
RD-000673,22,masculino,Monte Cristi,Cibao Noroeste,urbana,nacional,grado,62507.72,2,74.93,73.26,50.8,37.17,194003.2,0,0,1
RD-000674,17,femenino,San Pedro de Macoris,Higuamo,urbana,nacional,grado,27597.81,3,93.44,81.58,61.4,51.31,187532.11,1,0,1
RD-000675,25,masculino,Monsenor Nouel,Cibao Sur,urbana,internacional,maestria,36296.23,1,83.95,92.94,21.6,59.15,2207955.07,1,0,1
RD-000676,24,masculino,Santiago,Cibao Norte,rural,internacional,maestria,15940.4,1,71.95,51.36,80.1,73.49,968232.08,0,0,0
RD-000677,18,masculino,Peravia,Valdesia,urbana,nacional,grado,25730.55,7,84.18,85.48,62.7,44.67,340050.38,0,0,1
RD-000678,43,femenino,Puerto Plata,Cibao Norte,urbana,nacional,maestria,18467.63,5,76.03,76.67,102.1,18.45,285828.02,0,0,0
RD-000679,22,femenino,Santo Domingo,Ozama,urbana,nacional,grado,33227.5,4,80.59,84.31,131.6,34.5,200904.65,0,0,1
RD-000680,23,masculino,Santiago,Cibao Norte,urbana,nacional,grado,33961.97,2,84.05,92.23,65.7,69.83,215960.9,1,0,0
RD-000681,29,masculino,Distrito Nacional,Ozama,urbana,internacional,maestria,44332.72,5,76.76,68.94,23.2,79.44,917718.85,1,0,0
RD-000682,37,femenino,Santo Domingo,Ozama,urbana,nacional,maestria,83437.04,4,80.1,89.33,8.8,46.67,242970.01,1,0,0
RD-000683,20,masculino,Distrito Nacional,Ozama,rural,nacional,grado,61224.24,2,78.05,62.95,136.4,45.62,196887.6,0,0,1
RD-000684,24,femenino,La Vega,Cibao Sur,urbana,nacional,grado,17288.67,1,78.26,79.53,130.7,40.74,163347.14,1,0,1
RD-000685,22,masculino,San Cristobal,Valdesia,rural,nacional,grado,58947.85,4,75.94,75.09,99.9,33.94,270406.43,1,0,0
RD-000686,24,masculino,Santiago,Cibao Norte,rural,nacional,grado,44867.33,4,80.14,78.56,62.7,83.08,190936.16,0,0,1
RD-000687,27,masculino,La Vega,Cibao Sur,urbana,nacional,maestria,39982.43,6,76.84,66.13,96.7,77.78,296419.36,0,0,1
RD-000688,24,masculino,San Juan,El Valle,urbana,internacional,doctorado,41669.11,3,88.69,83.24,118.7,74.81,1422185.65,1,0,1
RD-000689,22,masculino,San Pedro de Macoris,Higuamo,rural,nacional,grado,47216.74,1,85.61,97.04,32.2,25.69,289218.92,1,0,1
RD-000690,26,femenino,Duarte,Cibao Nordeste,rural,nacional,grado,28838.38,7,93.56,66.34,61.3,54.54,411389.88,0,0,1
RD-000691,24,masculino,Santo Domingo,Ozama,urbana,nacional,grado,38166.26,3,99.09,80.28,10.2,49.79,172091.09,1,0,0
RD-000692,19,femenino,Peravia,Valdesia,urbana,nacional,grado,80915.97,6,89.42,88.27,54.2,61.42,304977.95,0,0,1
RD-000693,31,femenino,Santo Domingo,Ozama,urbana,nacional,maestria,28648.37,1,87.6,74.44,129.5,64.82,359285.27,0,0,0
RD-000694,18,femenino,Santiago,Cibao Norte,urbana,nacional,grado,23946.12,1,89.92,94.32,108.5,34.45,371083.21,1,1,1
RD-000695,30,masculino,Peravia,Valdesia,urbana,internacional,maestria,40784.65,1,87.73,72.84,66.1,73.8,713855.52,0,0,1
RD-000696,18,masculino,Puerto Plata,Cibao Norte,urbana,nacional,grado,22656.19,6,84.4,76.6,0.0,46.7,241575.35,0,0,0
RD-000697,24,masculino,San Pedro de Macoris,Higuamo,urbana,nacional,grado,16357.95,2,83.77,66.08,30.5,61.12,324542.13,1,0,0
RD-000698,25,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,34910.5,6,75.83,79.52,64.6,48.08,143329.93,1,1,1
RD-000699,25,masculino,San Cristobal,Valdesia,urbana,nacional,grado,93595.92,7,90.71,78.04,50.3,65.84,392676.72,0,0,1
RD-000700,18,masculino,Santo Domingo,Ozama,urbana,nacional,grado,41306.19,5,83.75,85.63,61.5,16.57,149545.5,0,0,1
RD-000701,30,masculino,Santo Domingo,Ozama,rural,internacional,maestria,46546.98,7,95.6,70.37,70.9,71.55,1351516.71,0,1,1
RD-000702,20,femenino,Santiago,Cibao Norte,urbana,nacional,grado,13074.49,7,91.32,69.82,36.0,39.52,339137.36,1,0,1
RD-000703,34,masculino,Santo Domingo,Ozama,rural,nacional,maestria,53689.3,6,78.99,83.55,59.7,53.1,338533.71,1,0,0
RD-000704,22,femenino,Azua,Valdesia,rural,nacional,grado,44415.83,6,93.97,94.77,53.3,70.67,436230.28,0,0,1
RD-000705,17,femenino,Santo Domingo,Ozama,urbana,nacional,grado,29269.37,5,63.51,85.55,28.4,39.95,339978.22,0,0,0
RD-000706,23,femenino,Duarte,Cibao Nordeste,urbana,nacional,grado,46584.71,2,99.44,100.0,143.1,37.6,113974.26,0,0,1
RD-000707,22,femenino,La Romana,Yuma,urbana,nacional,grado,46331.02,1,73.29,84.66,38.6,46.42,296036.22,0,0,1
RD-000708,22,masculino,La Romana,Yuma,urbana,nacional,grado,23559.43,3,87.96,84.23,0.0,45.47,80000.0,0,0,1
RD-000709,26,femenino,La Vega,Cibao Sur,rural,nacional,grado,50641.14,4,87.42,86.15,140.2,36.25,231342.71,1,0,0
RD-000710,26,masculino,La Vega,Cibao Sur,urbana,internacional,maestria,81505.39,3,92.99,95.86,21.9,95.27,1545046.08,1,0,1
RD-000711,41,femenino,Monte Cristi,Cibao Noroeste,urbana,internacional,doctorado,37221.14,1,81.37,92.85,100.5,53.06,1387840.27,0,1,0
RD-000712,43,masculino,San Cristobal,Valdesia,rural,internacional,maestria,26181.89,4,66.84,64.98,29.4,83.17,1158963.86,1,0,0
RD-000713,22,femenino,La Altagracia,Yuma,rural,internacional,doctorado,38266.53,4,81.38,87.61,85.6,87.98,1580945.94,0,0,0
RD-000714,26,masculino,Peravia,Valdesia,urbana,internacional,doctorado,67510.42,7,82.25,81.18,57.8,88.86,1821049.38,1,0,1
RD-000715,37,femenino,La Romana,Yuma,urbana,internacional,maestria,21493.9,7,67.61,75.67,105.0,81.05,1334691.14,1,1,1
RD-000716,25,masculino,Santo Domingo,Ozama,rural,internacional,maestria,58000.51,5,84.36,56.72,50.4,92.52,1854707.71,0,0,0
RD-000717,23,masculino,Duarte,Cibao Nordeste,urbana,internacional,maestria,29059.25,6,75.39,59.52,30.5,97.62,1565541.83,1,0,1
RD-000718,44,masculino,Distrito Nacional,Ozama,rural,internacional,maestria,48200.98,3,89.19,73.63,71.6,74.68,1410780.37,0,0,1
RD-000719,24,masculino,San Cristobal,Valdesia,rural,internacional,doctorado,30934.2,7,82.03,60.42,42.8,82.92,1833192.35,1,0,0
RD-000720,22,femenino,San Juan,El Valle,urbana,nacional,grado,30888.54,7,99.69,73.87,0.0,37.86,272418.97,0,0,1
RD-000721,22,femenino,Puerto Plata,Cibao Norte,urbana,nacional,grado,97509.22,1,81.95,86.57,32.9,50.17,207438.3,0,0,1
RD-000722,19,femenino,La Vega,Cibao Sur,rural,nacional,grado,19438.33,5,87.44,71.03,189.1,47.4,364582.42,0,0,1
RD-000723,40,femenino,Distrito Nacional,Ozama,urbana,internacional,maestria,55102.56,4,82.3,79.0,0.0,71.12,1464817.07,0,0,0
RD-000724,26,femenino,San Juan,El Valle,urbana,nacional,grado,109341.19,2,71.01,65.16,70.8,69.78,80000.0,0,0,0
RD-000725,34,masculino,Distrito Nacional,Ozama,urbana,internacional,maestria,61515.05,3,82.36,81.59,49.1,57.12,1949755.82,1,0,0
RD-000726,41,masculino,Distrito Nacional,Ozama,urbana,internacional,doctorado,20290.27,7,90.03,84.1,142.6,93.8,1660206.82,0,0,1
RD-000727,22,masculino,Santo Domingo,Ozama,urbana,internacional,maestria,20850.45,7,88.82,60.92,10.0,83.87,1401673.24,0,0,1
RD-000728,25,masculino,Distrito Nacional,Ozama,urbana,nacional,grado,27906.25,3,81.65,68.98,64.6,34.73,121273.48,0,0,0
RD-000729,23,masculino,La Vega,Cibao Sur,urbana,nacional,grado,46020.83,4,72.35,62.79,90.9,6.81,289752.09,0,0,0
RD-000730,33,femenino,Puerto Plata,Cibao Norte,urbana,internacional,doctorado,47775.51,4,89.16,84.11,51.9,66.56,1670942.13,0,0,0
RD-000731,44,masculino,Santiago,Cibao Norte,urbana,internacional,maestria,20964.1,6,87.36,79.97,25.5,94.4,1472064.43,0,0,1
RD-000732,23,femenino,Distrito Nacional,Ozama,urbana,internacional,maestria,26107.64,4,90.75,77.4,59.0,76.05,1385125.77,0,1,1
RD-000733,31,femenino,Distrito Nacional,Ozama,rural,nacional,maestria,27002.5,3,81.81,76.46,46.1,47.72,237772.1,1,0,1
RD-000734,19,masculino,Santiago,Cibao Norte,urbana,nacional,grado,38199.94,7,70.53,81.87,45.9,58.31,244957.4,0,0,1
RD-000735,18,femenino,Distrito Nacional,Ozama,rural,nacional,grado,125691.09,3,88.27,82.11,101.9,45.66,282776.56,0,0,0
RD-000736,29,femenino,San Cristobal,Valdesia,urbana,internacional,maestria,25254.18,2,83.93,72.05,78.1,83.85,1528961.81,1,0,1
RD-000737,20,femenino,Santo Domingo,Ozama,urbana,nacional,grado,24653.48,3,95.13,70.37,84.8,54.84,111438.98,0,0,1
RD-000738,25,masculino,Santiago,Cibao Norte,urbana,internacional,maestria,22624.14,3,84.23,77.29,74.9,90.49,1213994.78,1,0,1
RD-000739,33,femenino,Santiago,Cibao Norte,rural,internacional,maestria,59847.18,4,83.64,75.72,103.2,70.28,1059503.72,0,0,1
RD-000740,25,masculino,La Vega,Cibao Sur,urbana,nacional,grado,41244.05,5,87.34,100.0,118.7,73.98,186571.56,0,1,1
RD-000741,25,femenino,Distrito Nacional,Ozama,rural,nacional,grado,25772.81,1,79.22,73.39,47.1,54.51,209932.88,1,0,0
RD-000742,26,masculino,Distrito Nacional,Ozama,urbana,nacional,grado,34560.35,7,78.84,81.48,96.9,36.56,257062.36,0,0,1
RD-000743,37,masculino,Azua,Valdesia,rural,internacional,maestria,27300.75,2,83.22,83.59,1.7,73.83,1421977.36,1,0,0
RD-000744,25,femenino,Distrito Nacional,Ozama,rural,nacional,grado,49649.33,1,76.64,94.81,0.0,59.34,321127.64,0,0,1
RD-000745,21,masculino,Puerto Plata,Cibao Norte,rural,nacional,grado,184685.03,5,82.17,68.27,142.2,49.83,322609.63,0,0,0
RD-000746,23,femenino,Puerto Plata,Cibao Norte,urbana,nacional,grado,57123.76,2,99.52,94.08,45.0,51.22,80000.0,0,0,1
RD-000747,25,femenino,Santiago,Cibao Norte,urbana,nacional,grado,40088.96,6,92.34,76.23,71.4,36.01,103850.73,0,0,1
RD-000748,43,femenino,La Vega,Cibao Sur,urbana,internacional,doctorado,29268.39,7,86.46,100.0,4.9,72.1,1661296.13,1,0,1
RD-000749,17,femenino,La Romana,Yuma,urbana,nacional,grado,20153.43,5,96.41,82.35,2.8,33.78,213987.66,0,0,1
RD-000750,18,otro,La Altagracia,Yuma,rural,nacional,grado,63166.5,6,77.4,63.25,27.9,48.24,208079.66,0,0,0
RD-000751,24,masculino,Santo Domingo,Ozama,urbana,nacional,grado,61306.72,4,100.0,75.63,88.9,41.96,254342.72,0,0,1
RD-000752,21,masculino,Santiago,Cibao Norte,urbana,nacional,grado,32651.45,3,80.32,94.04,36.8,66.74,320039.37,0,0,0
RD-000753,19,femenino,Santo Domingo,Ozama,urbana,nacional,grado,82234.79,5,100.0,78.98,44.9,75.25,235939.44,0,0,0
RD-000754,41,masculino,Puerto Plata,Cibao Norte,urbana,internacional,maestria,42685.25,3,100.0,77.28,26.5,78.84,1831715.64,0,0,0
RD-000755,17,masculino,San Cristobal,Valdesia,urbana,nacional,grado,64609.61,7,69.97,86.63,112.5,51.93,239590.05,0,0,1
RD-000756,18,femenino,Santo Domingo,Ozama,rural,nacional,grado,49657.68,4,95.74,73.86,99.1,47.34,193080.13,1,0,1
RD-000757,21,masculino,Santiago,Cibao Norte,urbana,nacional,grado,38275.88,4,81.73,75.47,38.2,58.97,99652.17,1,0,0
RD-000758,28,masculino,San Juan,El Valle,urbana,nacional,maestria,24954.6,5,79.46,66.66,90.8,53.44,330991.6,0,0,1
RD-000759,35,masculino,Distrito Nacional,Ozama,urbana,internacional,maestria,38946.92,2,88.2,98.75,49.0,91.01,1498181.05,0,1,1
RD-000760,23,masculino,La Vega,Cibao Sur,urbana,nacional,grado,67045.57,4,75.94,63.33,44.8,53.41,377647.93,0,0,0
RD-000761,32,femenino,San Pedro de Macoris,Higuamo,urbana,internacional,doctorado,31905.24,6,88.02,80.03,57.8,73.67,969063.32,0,0,1
RD-000762,20,masculino,Santo Domingo,Ozama,urbana,nacional,grado,53737.04,6,76.47,83.76,88.9,75.84,86597.13,0,0,1
RD-000763,23,masculino,Distrito Nacional,Ozama,urbana,nacional,maestria,23260.11,2,85.42,77.84,19.9,40.1,151083.84,0,0,0
RD-000764,25,masculino,Santo Domingo,Ozama,urbana,nacional,grado,64798.13,1,94.68,62.95,82.6,55.86,277891.57,0,0,0
RD-000765,24,femenino,Peravia,Valdesia,urbana,nacional,grado,50117.11,2,87.09,66.01,172.4,59.64,321600.47,0,0,1
RD-000766,39,femenino,Distrito Nacional,Ozama,rural,internacional,maestria,21782.0,6,81.12,84.27,68.2,89.37,1263467.51,0,0,1
RD-000767,17,femenino,Santo Domingo,Ozama,urbana,nacional,grado,37301.62,2,88.33,68.64,61.6,47.53,253643.76,1,0,1
RD-000768,24,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,70424.22,1,72.75,53.14,56.2,72.52,321180.91,1,0,0
RD-000769,20,masculino,Distrito Nacional,Ozama,urbana,nacional,grado,21110.63,5,77.29,82.64,81.5,20.67,196354.16,0,0,0
RD-000770,20,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,23411.38,7,80.56,67.53,0.0,35.59,340362.45,0,0,0
RD-000771,29,masculino,Santo Domingo,Ozama,urbana,internacional,maestria,40610.29,2,90.29,85.57,136.5,57.74,1504496.08,0,0,1
RD-000772,24,femenino,Duarte,Cibao Nordeste,rural,internacional,maestria,136397.94,1,87.25,75.58,104.2,65.9,899293.98,0,0,1
RD-000773,22,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,29146.27,1,88.28,75.0,31.0,37.92,215864.46,1,0,1
RD-000774,41,femenino,Azua,Valdesia,urbana,internacional,maestria,55403.65,1,83.78,78.63,61.4,91.97,1809906.23,1,0,0
RD-000775,33,femenino,Distrito Nacional,Ozama,rural,internacional,doctorado,48682.48,2,77.7,64.34,34.9,69.39,721098.52,0,0,0
RD-000776,22,femenino,Azua,Valdesia,urbana,nacional,grado,30508.61,2,95.9,68.09,73.5,61.56,277291.59,0,0,1
RD-000777,26,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,46102.54,5,78.42,74.88,62.8,65.57,80000.0,0,0,1
RD-000778,24,masculino,Santo Domingo,Ozama,rural,nacional,grado,32981.13,2,87.35,64.27,70.3,53.32,165939.33,1,0,1
RD-000779,31,masculino,La Romana,Yuma,urbana,internacional,maestria,34655.35,4,83.1,86.57,13.7,82.19,1197531.9,0,0,1
RD-000780,39,femenino,Azua,Valdesia,rural,internacional,doctorado,16920.83,3,88.5,74.31,38.3,54.57,1398895.69,1,0,0
RD-000781,19,femenino,Santo Domingo,Ozama,urbana,nacional,grado,41629.32,5,79.16,60.61,111.6,53.14,312959.95,1,0,0
RD-000782,41,masculino,Peravia,Valdesia,rural,internacional,maestria,69182.38,5,92.42,71.29,36.0,80.19,1202904.47,0,0,0
RD-000783,28,masculino,La Vega,Cibao Sur,rural,internacional,maestria,43546.48,5,95.03,79.21,0.0,64.34,1901376.4,1,0,0
RD-000784,17,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,76862.95,7,91.93,72.65,53.2,73.54,419238.45,1,0,1
RD-000785,17,femenino,Barahona,Enriquillo,rural,nacional,grado,58056.97,2,85.26,82.8,168.5,43.15,177119.67,0,0,1
RD-000786,36,femenino,Santiago,Cibao Norte,urbana,internacional,maestria,40833.26,4,80.52,84.89,98.2,90.45,1639679.19,0,1,1
RD-000787,31,masculino,La Altagracia,Yuma,rural,internacional,maestria,29870.93,3,100.0,100.0,33.7,81.94,1388045.01,0,0,1
RD-000788,18,masculino,Santiago,Cibao Norte,urbana,nacional,grado,32291.36,4,76.07,91.81,57.7,60.93,154516.0,0,1,1
RD-000789,26,masculino,La Romana,Yuma,urbana,nacional,grado,18792.61,1,91.05,58.36,90.6,71.66,308139.35,0,0,1
RD-000790,17,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,36428.5,3,86.66,73.68,0.0,40.09,80000.0,0,0,1
RD-000791,20,masculino,Santo Domingo,Ozama,urbana,nacional,grado,45720.37,7,83.5,74.8,21.5,24.16,80000.0,1,0,1
RD-000792,24,masculino,La Vega,Cibao Sur,urbana,nacional,grado,108388.97,6,85.48,84.9,77.9,79.71,269871.56,0,0,0
RD-000793,17,femenino,Santiago,Cibao Norte,urbana,nacional,grado,56419.84,3,79.92,66.8,131.8,59.32,146916.62,0,0,1
RD-000794,26,masculino,Distrito Nacional,Ozama,urbana,nacional,grado,26221.38,1,87.42,71.62,40.2,50.39,186253.9,1,0,1
RD-000795,23,femenino,Distrito Nacional,Ozama,rural,nacional,grado,19117.27,5,86.53,63.07,130.5,49.57,323279.72,0,0,0
RD-000796,26,masculino,Santiago,Cibao Norte,rural,nacional,grado,37661.6,3,100.0,70.77,26.1,20.56,299301.12,0,0,1
RD-000797,25,masculino,Distrito Nacional,Ozama,urbana,nacional,grado,65938.02,3,92.57,71.22,0.0,55.13,123405.46,1,1,1
RD-000798,36,femenino,Santo Domingo,Ozama,urbana,internacional,maestria,37371.4,1,88.13,74.24,93.5,92.54,1392383.33,0,0,1
RD-000799,19,femenino,San Pedro de Macoris,Higuamo,urbana,nacional,grado,56845.44,3,88.6,63.76,84.3,52.79,211479.77,0,0,0
RD-000800,19,femenino,San Pedro de Macoris,Higuamo,rural,nacional,grado,38191.99,2,98.72,89.78,93.1,52.45,279623.68,0,0,1
RD-000801,19,masculino,San Pedro de Macoris,Higuamo,rural,nacional,grado,62589.34,1,76.24,83.67,91.4,1.33,238084.68,1,0,1
RD-000802,18,femenino,Santiago,Cibao Norte,rural,nacional,grado,17527.18,5,82.54,60.61,68.6,59.35,97170.97,1,0,1
RD-000803,23,masculino,Peravia,Valdesia,rural,nacional,grado,101956.36,7,68.74,78.31,48.4,54.83,172252.75,0,1,0
RD-000804,17,femenino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,22882.65,1,88.47,59.22,50.1,56.85,80000.0,0,0,0
RD-000805,44,femenino,Santo Domingo,Ozama,urbana,nacional,maestria,65287.3,1,90.79,94.11,39.3,49.25,257591.51,1,0,0
RD-000806,22,masculino,Santo Domingo,Ozama,urbana,nacional,grado,36326.36,1,76.04,97.37,42.0,52.73,277705.32,0,0,1
RD-000807,22,masculino,San Cristobal,Valdesia,urbana,nacional,grado,39588.53,4,95.48,77.33,0.0,54.59,173079.66,1,0,1
RD-000808,30,femenino,Santo Domingo,Ozama,urbana,nacional,maestria,36952.7,6,78.25,67.77,5.4,56.11,229007.62,0,0,0
RD-000809,22,femenino,Puerto Plata,Cibao Norte,urbana,internacional,maestria,48561.32,3,81.26,70.03,52.6,61.33,1674259.27,0,0,1
RD-000810,42,femenino,Monte Cristi,Cibao Noroeste,urbana,internacional,doctorado,54265.2,1,84.96,72.56,0.0,66.93,1333724.78,1,0,1
RD-000811,26,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,75515.92,1,96.75,76.72,0.0,79.75,117834.3,1,0,1
RD-000812,21,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,91525.41,5,77.13,94.45,45.0,41.11,210451.87,0,0,0
RD-000813,22,masculino,Monte Cristi,Cibao Noroeste,urbana,nacional,grado,50640.24,3,86.33,89.47,54.2,46.38,116664.06,1,0,1
RD-000814,22,masculino,Duarte,Cibao Nordeste,urbana,nacional,grado,108284.88,3,90.2,89.65,45.9,77.39,262308.26,0,0,0
RD-000815,20,femenino,Santo Domingo,Ozama,urbana,nacional,grado,44406.22,2,88.55,80.05,0.0,49.68,338629.06,0,0,0
RD-000816,24,masculino,Peravia,Valdesia,urbana,nacional,grado,76312.51,7,88.84,64.16,129.9,65.97,80000.0,0,0,1
RD-000817,20,femenino,Azua,Valdesia,urbana,nacional,grado,53412.27,3,90.09,68.76,0.0,54.03,302131.75,0,0,1
RD-000818,21,masculino,Duarte,Cibao Nordeste,urbana,nacional,grado,31192.64,5,79.56,78.73,23.2,48.58,394997.19,0,0,1
RD-000819,25,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,46615.05,6,97.5,63.59,3.2,66.79,252251.62,0,0,1
RD-000820,42,masculino,Santo Domingo,Ozama,urbana,internacional,doctorado,55644.83,1,83.11,81.65,118.5,65.79,998480.35,1,0,1
RD-000821,28,femenino,Distrito Nacional,Ozama,urbana,internacional,doctorado,41451.98,2,82.05,87.66,79.0,89.98,1305476.87,0,0,0
RD-000822,22,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,maestria,52948.29,7,94.78,84.54,38.7,54.6,188166.3,0,0,1
RD-000823,17,femenino,Santo Domingo,Ozama,rural,nacional,grado,67910.75,7,78.96,84.06,35.5,37.07,426608.43,0,0,1
RD-000824,23,masculino,San Cristobal,Valdesia,urbana,nacional,grado,41653.67,3,86.56,55.6,68.1,71.07,319324.76,1,0,0
RD-000825,35,femenino,La Altagracia,Yuma,urbana,internacional,maestria,12000.0,2,78.22,94.0,3.9,79.92,1804770.76,1,1,1
RD-000826,19,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,106196.73,3,100.0,59.19,77.1,80.11,444728.87,1,0,1
RD-000827,26,masculino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,35822.26,7,100.0,76.17,35.3,57.36,367731.66,1,0,1
RD-000828,38,masculino,Santo Domingo,Ozama,urbana,nacional,maestria,26827.85,5,83.12,85.42,83.4,45.08,228467.78,1,0,1
RD-000829,22,masculino,Azua,Valdesia,urbana,internacional,maestria,22736.78,1,88.16,82.3,81.9,64.26,986178.75,0,0,1
RD-000830,26,masculino,Santo Domingo,Ozama,urbana,nacional,grado,35064.86,6,84.04,62.67,33.3,37.9,464179.33,1,0,0
RD-000831,25,femenino,Monsenor Nouel,Cibao Sur,urbana,nacional,grado,30961.16,2,81.21,64.82,0.0,87.18,169767.65,1,0,0
RD-000832,24,femenino,Duarte,Cibao Nordeste,rural,nacional,grado,28131.49,3,84.96,81.44,48.9,69.92,223695.63,0,0,0
RD-000833,23,masculino,Santiago,Cibao Norte,rural,nacional,grado,28993.6,4,83.68,84.13,0.0,56.57,143773.7,0,0,1
RD-000834,42,femenino,San Cristobal,Valdesia,urbana,nacional,maestria,56464.0,3,71.83,64.71,63.5,66.96,80000.0,0,1,0
RD-000835,21,masculino,San Pedro de Macoris,Higuamo,urbana,nacional,grado,128888.1,5,86.1,82.71,48.5,44.62,156423.17,0,0,1
RD-000836,22,femenino,Duarte,Cibao Nordeste,urbana,nacional,grado,66258.19,2,83.66,59.82,33.5,35.38,158287.46,1,1,1
RD-000837,17,femenino,La Romana,Yuma,urbana,nacional,grado,78231.61,7,86.5,85.49,1.7,18.8,180615.26,0,0,0
RD-000838,22,femenino,Barahona,Enriquillo,urbana,nacional,grado,34283.67,5,83.38,67.39,113.4,53.25,298165.3,0,0,1
RD-000839,25,masculino,La Vega,Cibao Sur,urbana,internacional,doctorado,44692.72,3,81.12,78.97,39.6,84.27,1436623.08,0,0,1
RD-000840,40,femenino,Puerto Plata,Cibao Norte,rural,nacional,maestria,53346.59,7,91.0,76.95,165.9,59.79,336045.39,0,1,1
RD-000841,18,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,29355.73,4,88.27,91.93,61.6,52.2,254341.74,1,0,1
